# Time-averaged data for fix relax3
# TimeStep c_Tup c_Tdown c_allke c_allpe
700300 607.686 306.543 278.93 -28174.5
700400 604.551 308.368 277.491 -28175.2
700500 604.9 307.387 277.651 -28176.9
700600 604.834 312.442 277.62 -28178.5
700700 602.754 312.213 276.666 -28178.8
700800 603.333 315.256 276.931 -28180.1
700900 599.306 315.074 275.083 -28179
701000 599.992 313.882 275.398 -28179.6
701100 598.317 315.672 274.629 -28179.3
701200 600.296 313.636 275.538 -28180.2
701300 599.392 314.4 275.122 -28179.7
701400 600.707 316.852 275.726 -28180.2
701500 600.369 314.349 275.571 -28179.6
701600 601.082 314.294 275.898 -28179.4
701700 600.908 311.762 275.818 -28178.6
701800 602.536 312.266 276.566 -28178.8
701900 604.107 310.027 277.287 -28179.2
702000 601.084 311.522 275.899 -28177.8
702100 603.743 312.939 277.12 -28179
702200 604.488 312.572 277.462 -28179.2
702300 602.565 311.499 276.579 -28178.2
702400 601.912 311.616 276.279 -28178.4
702500 601.461 311.42 276.072 -28178.7
702600 602.429 314.02 276.517 -28179.6
702700 599.962 312.202 275.384 -28178.5
702800 601.475 314.93 276.079 -28179.5
702900 599.92 314.061 275.365 -28179.2
703000 601.664 315.88 276.166 -28180.2
703100 601.105 315.477 275.909 -28180.3
703200 599.555 314.609 275.198 -28180.1
703300 598.765 314.77 274.835 -28179.9
703400 600.166 316.765 275.478 -28180.7
703500 598.05 316.429 274.507 -28179.9
703600 600.032 316.023 275.416 -28180.9
703700 598.459 315.84 274.694 -28180.8
703800 598.264 319.534 274.605 -28181.3
703900 597.819 317.073 274.401 -28181.3
704000 596.21 316.127 273.662 -28180.5
704100 598.254 318.488 274.6 -28181.6
704200 595.439 317.482 273.308 -28180.2
704300 598.822 315.579 274.861 -28181.5
704400 598.55 319.373 274.736 -28181.8
704500 595.636 315.968 273.399 -28180.3
704600 598.879 315.524 274.887 -28181.7
704700 594.768 316.403 273 -28180.1
704800 596.273 318.048 273.691 -28181.2
704900 596.615 318.178 273.848 -28181.8
705000 595.645 318.642 273.403 -28181.6
705100 598.863 319.252 274.88 -28183.1
705200 594.902 319.051 273.062 -28181.6
705300 593.476 318.598 272.407 -28181.4
705400 594.185 319.92 272.733 -28182.5
705500 595.047 321.665 273.128 -28183.7
705600 592.418 323.05 271.921 -28182.8
705700 594.115 321.075 272.7 -28182.9
705800 595.315 319.327 273.251 -28182.9
705900 594.371 319.572 272.818 -28182.3
706000 592.152 319.451 271.8 -28181.1
706100 596.199 319.033 273.657 -28182.5
706200 596.241 318.329 273.677 -28181.9
706300 598.409 316.865 274.671 -28182.1
706400 597.784 316.519 274.384 -28181.7
706500 596.156 318.315 273.637 -28181.5
706600 594.996 317.451 273.105 -28181.1
706700 592.976 316.939 272.177 -28180.1
706800 597.145 318.624 274.091 -28182
706900 597.079 318.427 274.061 -28181.9
707000 597.478 317.677 274.244 -28181.9
707100 594.848 318.095 273.037 -28181
707200 596.935 318.369 273.995 -28181.8
707300 595.765 316.568 273.458 -28181
707400 596.876 317.379 273.968 -28181.7
707500 596.976 318.981 274.014 -28182.3
707600 597.361 319.103 274.19 -28183
707700 593.303 321.886 272.328 -28182
707800 594.756 320.756 272.995 -28183
707900 593.996 321.041 272.646 -28182.7
708000 592.12 320.051 271.785 -28182
