Time  E1  E2
0  -0  -0
100000  -476.581440089742  469.300425186426
200000  -966.726814029457  956.759751775347
300000  -1438.50497522449  1423.81904381901
400000  -1925.70821366439  1923.65479503865
500000  -2421.30056897981  2403.55739277311
600000  -2924.13827064704  2916.4398560279
700000  -3408.1995752723  3398.81769037549
800000  -3910.88658400891  3895.04931320284
900000  -4408.30608359983  4406.03347762412
1000000  -4915.05509918799  4909.42025299817
1100000  -5413.18464401098  5396.08598916232
1200000  -5900.02135466185  5885.02647133518
1300000  -6377.59307822524  6367.37560996766
1400000  -6866.37838842562  6850.7282029235
1500000  -7366.82877533091  7352.06094897477
1600000  -7843.19616939011  7837.33952295658
1700000  -8348.81617020425  8342.34739992081
1800000  -8838.64118273735  8825.39344199686
1900000  -9332.97374881745  9316.64487464945
2000000  -9808.24750704997  9793.90754916233
2100000  -10317.7476352448  10308.5907319776
2200000  -10823.2964082971  10818.5359508089
2300000  -11322.4686967006  11311.0222243397
2400000  -11796.9464191874  11788.3226928454
2500000  -12293.6777429849  12292.5539621732
2600000  -12777.7834189313  12770.8457821742
2700000  -13261.6485549281  13260.2767585335
2800000  -13776.0137950347  13760.8819529336
2900000  -14255.746188128  14247.6637924289
3000000  -14757.9986703448  14746.2397383038
3100000  -15253.3362787273  15244.6472951384
3200000  -15729.3195877478  15722.2898375493
3300000  -16213.3273360377  16197.2766137356
3400000  -16703.6938913515  16691.1149052931
3500000  -17188.0952408911  17173.7151827422
3600000  -17662.931242489  17650.9683803213
3700000  -18155.966211358  18153.291447389
3800000  -18655.6494730363  18653.7379839693
3900000  -19174.9227136565  19161.3033601613
4000000  -19663.267990569  19651.7415082149
4100000  -20147.4263763126  20144.5171976943
4200000  -20643.1587998236  20640.1978623159
4300000  -21146.3938081713  21134.9959326559
4400000  -21640.8663734111  21634.0290849118
4500000  -22141.892420832  22134.7167541759
4600000  -22639.1220435967  22628.4639980814
4700000  -23129.1414599716  23124.0197027117
4800000  -23636.1404947943  23625.7589551967
4900000  -24116.9727532  24119.3962727989
5000000  -24629.5629931104  24633.0220547501
5100000  -25115.9528781541  25110.2635219435
5200000  -25614.6195933489  25602.1643308837
5300000  -26109.7145103011  26106.5856611048
5400000  -26614.8949528364  26613.3428785716
5500000  -27121.0005253666  27117.6910423421
5600000  -27617.3948062897  27607.4351581761
5700000  -28096.234058551  28086.8041934435
5800000  -28601.1373156249  28596.5252351746
5900000  -29091.7278829607  29091.5070232319
6000000  -29597.3090641756  29597.9930156831
6100000  -30083.1865028739  30070.9372165617
6200000  -30577.5879512151  30567.7944848871
6300000  -31059.3726879618  31054.1271771388
6400000  -31564.2792769398  31555.6974392413
6500000  -32046.4291433769  32043.2925330292
6600000  -32527.4692413344  32522.9445346874
6700000  -33017.9447842965  33006.7658581875
6800000  -33526.1238006601  33517.8492080677
6900000  -34036.467472803  34033.0298124406
7000000  -34551.9786086257  34541.1518005508
7100000  -35040.2263052607  35031.5180456801
7200000  -35529.919197659  35526.4812588449
7300000  -36037.1782854737  36032.2847923672
7400000  -36534.4196353886  36522.2948510366
7500000  -37023.8931937519  37017.5727725937
7600000  -37525.5912066221  37514.6338328908
7700000  -37993.7129294003  37988.9778425388
7800000  -38480.1201088385  38470.9108807212
7900000  -38966.8080451711  38964.3224448393
8000000  -39479.9147274229  39471.7773627152
8100000  -39968.2544297708  39948.701760085
8200000  -40466.7311112739  40458.2100664802
8300000  -40951.1473549596  40943.2531851911
8400000  -41434.700579279  41433.6712058037
8500000  -41946.8932017698  41937.0266435338
8600000  -42423.1587616062  42430.3370778846
8700000  -42913.8243460387  42915.2273009357
8800000  -43409.2548323178  43401.6673509974
8900000  -43910.2515526545  43900.0978739663
9000000  -44402.5770946604  44391.2497744655
9100000  -44890.6972660637  44885.244848342
9200000  -45379.6391219633  45376.1225269903
9300000  -45892.9465453278  45879.9308272629
9400000  -46386.9407451286  46382.2489832706
9500000  -46879.5467866396  46867.3780100975
9600000  -47384.4240119713  47374.6607044045
9700000  -47873.3119103266  47869.1352305439
9800000  -48355.2273267899  48347.7198886931
9900000  -48831.4994018324  48837.7371960758
10000000  -49327.2477399225  49318.535390875
