# Chunk-averaged data for fix 11 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
10000000 80 16576
  1 0.00625 206.27 0.428956
  2 0.01875 205.663 327.478
  3 0.03125 206.935 323.736
  4 0.04375 206.885 312.964
  5 0.05625 207.389 310.664
  6 0.06875 206.918 309.848
  7 0.08125 206.977 309.34
  8 0.09375 206.718 308.816
  9 0.10625 207.27 308.379
  10 0.11875 207.251 308.05
  11 0.13125 207.502 307.828
  12 0.14375 207.372 307.429
  13 0.15625 207.513 307.001
  14 0.16875 207.464 306.819
  15 0.18125 207.529 306.549
  16 0.19375 207.502 306.262
  17 0.20625 207.491 306.025
  18 0.21875 207.443 305.785
  19 0.23125 207.383 305.5
  20 0.24375 207.372 305.221
  21 0.25625 207.335 304.987
  22 0.26875 207.33 304.693
  23 0.28125 207.266 304.395
  24 0.29375 207.255 304.163
  25 0.30625 207.201 303.851
  26 0.31875 207.216 303.621
  27 0.33125 207.135 303.368
  28 0.34375 207.164 303.098
  29 0.35625 207.074 302.729
  30 0.36875 207.118 302.446
  31 0.38125 207.028 302.221
  32 0.39375 207.097 302.022
  33 0.40625 207.024 301.759
  34 0.41875 207.078 301.541
  35 0.43125 207.028 301.264
  36 0.44375 207.051 300.895
  37 0.45625 207.074 300.631
  38 0.46875 207.071 300.374
  39 0.48125 207.155 300.219
  40 0.49375 207.107 299.863
  41 0.50625 207.24 299.657
  42 0.51875 207.152 299.374
  43 0.53125 207.286 299.065
  44 0.54375 207.165 298.845
  45 0.55625 207.33 298.76
  46 0.56875 207.248 298.514
  47 0.58125 207.395 298.281
  48 0.59375 207.314 297.95
  49 0.60625 207.422 297.823
  50 0.61875 207.35 297.504
  51 0.63125 207.453 297.128
  52 0.64375 207.403 296.96
  53 0.65625 207.497 296.561
  54 0.66875 207.437 296.334
  55 0.68125 207.528 296.069
  56 0.69375 207.452 295.903
  57 0.70625 207.543 295.574
  58 0.71875 207.433 295.358
  59 0.73125 207.512 294.996
  60 0.74375 207.389 294.809
  61 0.75625 207.438 294.472
  62 0.76875 207.317 294.177
  63 0.78125 207.31 294.007
  64 0.79375 207.26 293.74
  65 0.80625 207.284 293.508
  66 0.81875 207.36 293.239
  67 0.83125 207.254 293.062
  68 0.84375 207.302 292.714
  69 0.85625 207.068 292.308
  70 0.86875 207.236 292.087
  71 0.88125 206.99 291.563
  72 0.89375 207.267 291.131
  73 0.90625 206.968 290.801
  74 0.91875 206.83 290.402
  75 0.93125 206.068 289.782
  76 0.94375 206.245 289.025
  77 0.95625 206.817 286.738
  78 0.96875 207.293 276.395
  79 0.98125 205.859 272.959
  80 0.99375 209.633 0.822516
