# Chunk-averaged data for fix 11 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
20000000 121 5760
  1 0.00416667 48 0
  2 0.0125 48 0
  3 0.0208333 48 310.159
  4 0.0291667 48 309.532
  5 0.0375 48 306.229
  6 0.0458333 48 305.399
  7 0.0541667 48 304.561
  8 0.0625 48 305.106
  9 0.0708333 48 304.661
  10 0.0791667 48 304.361
  11 0.0875 48 304.227
  12 0.0958333 48 304.268
  13 0.104167 48 304.326
  14 0.1125 48 304.376
  15 0.120833 48 304.032
  16 0.129167 48 303.683
  17 0.1375 48 303.527
  18 0.145833 48 303.662
  19 0.154167 48 303.708
  20 0.1625 48 303.866
  21 0.170833 48 303.749
  22 0.179167 48 303.487
  23 0.1875 48 303.23
  24 0.195833 48 303.124
  25 0.204167 48 302.772
  26 0.2125 48 302.781
  27 0.220833 48 302.455
  28 0.229167 48 302.481
  29 0.2375 48 302.388
  30 0.245833 48 302.235
  31 0.254167 48 302.558
  32 0.2625 48 302.439
  33 0.270833 48 302.784
  34 0.279167 48 302.385
  35 0.2875 48 302.528
  36 0.295833 48 302.486
  37 0.304167 48 302.203
  38 0.3125 48 302.008
  39 0.320833 48 301.867
  40 0.329167 48 302.156
  41 0.3375 48 301.778
  42 0.345833 48 301.62
  43 0.354167 48 301.923
  44 0.3625 48 301.756
  45 0.370833 48 301.478
  46 0.379167 48 301.578
  47 0.3875 48 301.382
  48 0.395833 48 301.79
  49 0.404167 48 301.582
  50 0.4125 48 301.263
  51 0.420833 48 301.282
  52 0.429167 48 300.944
  53 0.4375 48 301.17
  54 0.445833 48 300.773
  55 0.454167 48 300.731
  56 0.4625 48 301.183
  57 0.470833 48 300.86
  58 0.479167 48 300.407
  59 0.4875 48 300.417
  60 0.495833 48 300.388
  61 0.504167 48 300.383
  62 0.5125 48 300.322
  63 0.520833 48 300.476
  64 0.529167 48 300.241
  65 0.5375 48 300.024
  66 0.545833 48 299.956
  67 0.554167 48 300.311
  68 0.5625 48 300.088
  69 0.570833 48 299.799
  70 0.579167 48 299.653
  71 0.5875 48 299.263
  72 0.595833 48 299.338
  73 0.604167 48 299.257
  74 0.6125 48 299.053
  75 0.620833 48 299.102
  76 0.629167 48 298.804
  77 0.6375 48 298.728
  78 0.645833 48 299.035
  79 0.654167 48 298.692
  80 0.6625 48 298.937
  81 0.670833 48 298.861
  82 0.679167 48 298.513
  83 0.6875 48 298.324
  84 0.695833 48 298.124
  85 0.704167 48 298.14
  86 0.7125 48 297.933
  87 0.720833 48 297.996
  88 0.729167 48 297.746
  89 0.7375 48 297.877
  90 0.745833 48 297.374
  91 0.754167 48 297.719
  92 0.7625 48 297.409
  93 0.770833 48 297.135
  94 0.779167 48 297.189
  95 0.7875 48 297.065
  96 0.795833 48 297.141
  97 0.804167 48 297.206
  98 0.8125 48 297.059
  99 0.820833 48 296.767
  100 0.829167 48 296.349
  101 0.8375 48 296.522
  102 0.845833 48 296.151
  103 0.854167 48 296.019
  104 0.8625 48 295.927
  105 0.870833 48 295.604
  106 0.879167 48 295.256
  107 0.8875 48 295.168
  108 0.895833 48 295.543
  109 0.904167 48 295.934
  110 0.9125 48 295.317
  111 0.920833 48 295.374
  112 0.929167 48 295.408
  113 0.9375 48 294.953
  114 0.945833 48 294.916
  115 0.954167 48 294.69
  116 0.9625 48 293.858
  117 0.970833 48 290.668
  118 0.979167 48 290.211
  119 0.9875 48 0
  120 0.995833 48 0
