Time  E1  E2
100000  -218.071195206829  218.191790824624
200000  -293.682162429404  292.482025425919
300000  -364.133527221755  365.726791628177
400000  -443.079455707445  441.923526246106
500000  -516.172127631007  516.123987008817
600000  -593.617347349391  594.776845515551
700000  -666.085886143219  664.782134584703
800000  -751.102674836034  749.436102649596
900000  -825.266116092879  822.840215340687
1000000  -901.747960826975  901.690204429193
1100000  -988.382090221703  985.343053748846
1200000  -1061.62525692865  1059.54960344115
1300000  -1135.99606910481  1137.21931598974
1400000  -1212.94008003308  1212.85239963385
1500000  -1278.44758290186  1280.25006875746
1600000  -1353.92661143543  1353.58227585622
1700000  -1423.36077656726  1421.28176103295
1800000  -1495.48159160704  1494.58078272408
1900000  -1568.97266162906  1569.64246542017
2000000  -1647.62075504044  1645.73852687533
2100000  -1724.35608977696  1725.45292137809
2200000  -1796.31529221126  1794.85522056222
2300000  -1876.98344669056  1876.9130319222
2400000  -1959.97772976682  1958.83644576515
2500000  -2026.17815365754  2023.10899846961
2600000  -2098.39201787227  2095.48303034199
2700000  -2171.10858617908  2168.75807398578
2800000  -2237.41580357556  2235.35920912686
2900000  -2308.05107501467  2309.58255153173
3000000  -2382.75263517884  2380.18455414603
3100000  -2453.33859864081  2451.51568386168
3200000  -2529.17404434547  2526.31722820765
3300000  -2601.58812877036  2600.14069995773
3400000  -2675.85605154728  2674.61161774102
3500000  -2741.36944642841  2738.8054620745
3600000  -2822.52734921008  2823.52475971854
3700000  -2896.96065271099  2896.95195040031
3800000  -2971.4381834868  2968.0994836876
3900000  -3048.23473236102  3050.05096951493
4000000  -3125.27443459049  3124.26333181378
4100000  -3199.32351919604  3198.7926852393
4200000  -3270.19317461919  3269.46150900875
4300000  -3348.29031077235  3345.20922120899
4400000  -3422.41820838773  3419.48624331427
4500000  -3492.00530842884  3490.53427409645
4600000  -3570.92132382399  3569.23388366281
4700000  -3643.35598989522  3645.27559252291
4800000  -3715.33737621948  3713.87889270505
4900000  -3789.1123741054  3786.57434575948
5000000  -3862.23435921063  3863.40836173084
5100000  -3930.46499597363  3928.71866549467
5200000  -4000.40081848701  3996.1525381
5300000  -4078.99627618191  4078.9044907267
5400000  -4151.62829832903  4152.66170865095
5500000  -4230.3062422788  4231.42951010052
5600000  -4309.17205621011  4303.66634072454
5700000  -4379.8314447312  4376.79369694238
5800000  -4460.10234230534  4460.0869411338
5900000  -4530.09189241778  4531.31344050983
6000000  -4601.56314280514  4602.80971661972
6100000  -4672.8091203474  4671.59050460823
6200000  -4752.45828220932  4751.84978258472
6300000  -4828.93829128902  4824.83641774818
6400000  -4905.44745566715  4905.26173523427
6500000  -4988.49649747425  4985.91611071224
6600000  -5062.66354876063  5060.25952258691
6700000  -5133.50702918281  5132.27188429574
6800000  -5207.90781121359  5208.06167069445
6900000  -5279.8394717045  5277.83661156747
7000000  -5347.08191155719  5346.13764448525
7100000  -5428.45103898842  5427.61323607006
7200000  -5490.93373137025  5493.2696056272
7300000  -5564.75702498175  5563.55951928028
7400000  -5638.88827395167  5636.70649183132
7500000  -5720.29025954722  5723.11412986305
7600000  -5794.53106404295  5794.22662101674
7700000  -5871.38558422823  5868.45589866299
7800000  -5947.59371665848  5946.86188959272
7900000  -6022.38388678635  6021.78921806022
8000000  -6096.83933302298  6097.2672255589
8100000  -6167.98072555088  6165.98609897966
8200000  -6242.81033654666  6242.40362592896
8300000  -6317.71174892374  6317.71508570013
8400000  -6388.86359201786  6389.33166370646
8500000  -6459.84264247547  6459.19022589966
8600000  -6537.26893830589  6534.30002888027
8700000  -6608.1973580898  6609.44036286169
8800000  -6687.25136058189  6685.52980322376
8900000  -6756.71476100714  6754.51063416527
9000000  -6834.67078547092  6833.67081482872
9100000  -6905.39634998431  6907.49025676161
9200000  -6974.4668540562  6974.29857849989
9300000  -7043.44110304474  7044.58170097675
9400000  -7119.10933337804  7121.04519255439
9500000  -7191.65715388683  7192.00612284819
9600000  -7275.31717740496  7274.52881078699
9700000  -7346.87270851754  7347.65776852866
9800000  -7424.74594341167  7424.02952160132
9900000  -7497.42596819019  7496.4940101177
10000000  -7570.965825353  7569.09322788756
