# Chunk-averaged data for fix 11 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
10000000 52 1440
  1 0.00961538 24 0
  2 0.0288462 36 0
  3 0.0480769 24 329.919
  4 0.0673077 24 329.793
  5 0.0865385 32.9235 329.681
  6 0.105769 27.0765 329.053
  7 0.125 24 327.593
  8 0.144231 25.9516 324.21
  9 0.163462 34.0484 315.96
  10 0.182692 24 311.502
  11 0.201923 24.1702 310.476
  12 0.221154 35.8271 308.649
  13 0.240385 24.0027 307.905
  14 0.259615 24.0005 307.048
  15 0.278846 35.8488 306.111
  16 0.298077 24.1506 305.606
  17 0.317308 24 305.326
  18 0.336538 32.718 304.949
  19 0.355769 27.282 303.731
  20 0.375 24 303.3
  21 0.394231 26.6012 303.107
  22 0.413462 33.3988 302.324
  23 0.432692 24 302.008
  24 0.451923 24.2793 301.395
  25 0.471154 35.7164 300.7
  26 0.490385 24.0042 300.052
  27 0.509615 24.0009 299.585
  28 0.528846 35.8583 299.105
  29 0.548077 24.1407 298.933
  30 0.567308 24 298.368
  31 0.586538 32.9795 297.817
  32 0.605769 27.0205 297.143
  33 0.625 24 296.696
  34 0.644231 26.873 296.111
  35 0.663462 33.127 295.319
  36 0.682692 24 294.623
  37 0.701923 24.3005 294.171
  38 0.721154 35.6976 293.368
  39 0.740385 24.0019 293.013
  40 0.759615 24.0005 292.232
  41 0.778846 35.937 291.289
  42 0.798077 24.0624 289.921
  43 0.817308 24 288.344
  44 0.836538 33.625 285.122
  45 0.855769 26.375 276.082
  46 0.875 24 272.773
  47 0.894231 26.4566 271.386
  48 0.913462 33.5434 270.799
  49 0.932692 24 270.694
  50 0.951923 24 270.541
  51 0.971154 36 0
  52 0.990385 24 0

